-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,0,1,2,18,-1,-1,-1
-1,-1,-1,-1,-1,16,102,17,17,138,139,17,102,18,-1,-1,-1,-1,-1,-1,-1,16,84,32,33,34,83,18,-1,-1
-1,-1,-1,-1,-1,48,134,33,141,170,171,-2147483507,134,83,18,-1,-1,-1,-1,-1,16,84,33,-1,-1,-1,115,83,18,-1
-1,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,115,50,-1,-1,-1,-1,-1,48,33,-1,-1,-1,-1,-1,115,50,-1
-1,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,365,-1,-1,50,-1,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,82,-1
-1,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,397,-1,-1,82,-1,-1,-1,404,-1,48,20,-1,-1,-1,-1,-1,19,82,-1
16,0,0,0,1,84,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,112,52,20,-1,-1,-1,19,51,114,-1
48,32,68,32,35,34,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,-1,-1,-1,-1,112,52,-1,-1,-1,51,114,-1,-1
80,68,32,32,33,100,-1,-1,-1,-1,-1,-1,-1,-1,83,96,1,102,0,1,2,1,84,-1,-1,-1,50,-1,-1,-1
48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,129,33,134,32,33,34,33,34,-1,-1,-1,50,-1,-1,-1
80,-1,-1,-1,-1,-1,-1,-1,365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,-1
80,-1,-1,-1,-1,-1,-1,-1,397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,-1
112,49,49,49,49,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,-1
-1,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,51,49,49,49,115,116,116,116,116,116,116,116,114,-1,-1,-1
-1,-1,-1,-1,-1,80,-1,-1,-1,-1,51,49,49,49,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,112,49,49,49,49,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
